market,candidate,period,evidence_type,months,active_annualized_return,relative_annualized_return,active_sharpe,active_newey_west_t,active_hit_rate,active_max_drawdown,mean_one_way_turnover,net_active_ann_at_10bps,full_sample_mean_ic,full_sample_top_bottom_ann
EU,trend_12_1,full_period,canonical_exact_sector_tilt,185,0.005679372218297063,0.0062291687394755435,0.3298915508069593,1.4144130501053012,0.5783783783783784,-0.03710493728340725,0.09220682752608825,0.004572890287984004,0.034490279753437644,0.05182806437613596
EU,trend_multi,discovery_2010_2017,canonical_exact_sector_tilt,93,0.0028032320291904167,0.003527126884053766,0.16689822306236154,0.642877716546781,0.5376344086021505,-0.021898310137608346,0.11588802177095463,0.0014125757679389612,0.020040584991221466,-0.008343854404729067
EU,trend_multi,validation_2018_2021,canonical_exact_sector_tilt,48,-0.006834047991669867,-0.0062669985785481774,-0.35891308459867943,-0.77624560737055,0.4583333333333333,-0.033729317724816466,0.11588802177095463,-0.008224704252921322,0.020040584991221466,-0.008343854404729067
EU,trend_multi,holdout_2022_latest,canonical_exact_sector_tilt,53,0.0017929225770485502,0.0021705247507519676,0.10723172130251112,0.2639315845947296,0.5283018867924528,-0.034144751398927364,0.11588802177095463,0.0004022663157970947,0.020040584991221466,-0.008343854404729067
EU,trend_multi,recent_2024_latest,canonical_exact_sector_tilt,29,0.000845394795007115,0.001086292271722522,0.04935018965663421,0.08709612396291785,0.5172413793103449,-0.027339963478136386,0.11588802177095463,-0.0005452614662443405,0.020040584991221466,-0.008343854404729067
EU,trend_multi,full_period,canonical_exact_sector_tilt,194,0.00013462417600496046,0.0007249859677989079,0.016454157367062336,0.08006727442725375,0.5154639175257731,-0.04918976624302496,0.11588802177095463,-0.001256032085246495,0.020040584991221466,-0.008343854404729067
EU,baseline_75_trend_25,discovery_2010_2017,canonical_exact_sector_tilt,93,0.007500580171182936,0.0076699639624353555,0.4674034943519685,1.4913605241954262,0.5376344086021505,-0.02582941122897242,0.0960206891675845,0.006348331901171921,0.041282147650913883,0.09019661976010784
EU,baseline_75_trend_25,validation_2018_2021,canonical_exact_sector_tilt,48,0.008800024267822115,0.009402759091992063,0.5450272103392918,1.2580691013041683,0.5,-0.01257916641926704,0.0960206891675845,0.007647775997811101,0.041282147650913883,0.09019661976010784
EU,baseline_75_trend_25,holdout_2022_latest,canonical_exact_sector_tilt,53,0.014962874926188308,0.014805331491388296,0.7639426033348464,2.3505028733381135,0.6415094339622641,-0.027231450028605386,0.0960206891675845,0.013810626656177294,0.041282147650913883,0.09019661976010784
EU,baseline_75_trend_25,recent_2024_latest,canonical_exact_sector_tilt,29,0.010322718634977912,0.010361881555501995,0.4554883833364585,1.0996775110014976,0.4827586206896552,-0.027231450028605275,0.0960206891675845,0.009170470364966899,0.041282147650913883,0.09019661976010784
EU,baseline_75_trend_25,full_period,canonical_exact_sector_tilt,194,0.009855788812421107,0.010043603486500574,0.5783491404840496,2.8383901827580496,0.5567010309278351,-0.027231450028605275,0.0960206891675845,0.008703540542410093,0.041282147650913883,0.09019661976010784
EU,quality_improvement,discovery_2010_2017,canonical_exact_sector_tilt,93,0.006867264947087781,0.006647856896033311,0.4538597404598084,1.386328774183891,0.45161290322580644,-0.021887686505592252,0.1047922627043695,0.005609757794635347,0.054467353951890035,0.0691604406955828
EU,quality_improvement,validation_2018_2021,canonical_exact_sector_tilt,48,0.013900588861739394,0.014989136045833407,0.7397852736368428,1.7380423876415396,0.5833333333333334,-0.011335399322854212,0.1047922627043695,0.01264308170928696,0.054467353951890035,0.0691604406955828
EU,quality_improvement,holdout_2022_latest,canonical_exact_sector_tilt,53,0.0018228776543509628,0.00212588528368185,0.11567557516265076,0.24094322682486094,0.5283018867924528,-0.0329749522250774,0.1047922627043695,0.0005653705018985285,0.054467353951890035,0.0691604406955828
EU,quality_improvement,recent_2024_latest,canonical_exact_sector_tilt,29,0.006848227355863434,0.006906516148628361,0.529825852446093,1.0380651888742152,0.5172413793103449,-0.007984277391827055,0.1047922627043695,0.005590720203411,0.054467353951890035,0.0691604406955828
EU,quality_improvement,full_period,canonical_exact_sector_tilt,194,0.007219911207500429,0.0074653395496355746,0.43958302649280223,1.833946728669496,0.5051546391752577,-0.03297495222507718,0.1047922627043695,0.005962404055047995,0.054467353951890035,0.0691604406955828
EU,improvement_core,discovery_2010_2017,canonical_exact_sector_tilt,93,0.006478976388559099,0.006395933851610858,0.4207379193528842,1.1102273946754766,0.5698924731182796,-0.03405125020342892,0.122513848992594,0.005008810200647971,0.03207632483270031,0.02291555534251466
EU,improvement_core,validation_2018_2021,canonical_exact_sector_tilt,48,0.01378705350395304,0.014507979244511526,0.8900205232150987,1.9182683166084071,0.5416666666666666,-0.01123760985708444,0.122513848992594,0.012316887316041912,0.03207632483270031,0.02291555534251466
EU,improvement_core,holdout_2022_latest,canonical_exact_sector_tilt,53,-0.012325196623626744,-0.012497681245111969,-0.5546243030069298,-1.2890234494575137,0.5094339622641509,-0.04830692489721755,0.122513848992594,-0.013795362811537872,0.03207632483270031,0.02291555534251466
EU,improvement_core,recent_2024_latest,canonical_exact_sector_tilt,29,-0.01405289591133807,-0.014332088279026212,-0.6678304043867901,-1.1852941827288308,0.5172413793103449,-0.04050314341391681,0.122513848992594,-0.015523062099249198,0.03207632483270031,0.02291555534251466
EU,improvement_core,full_period,canonical_exact_sector_tilt,194,0.0031004919972748013,0.003189387028371904,0.1838085366783416,0.7668347317627365,0.5463917525773195,-0.05330142990788722,0.122513848992594,0.0016303258093636733,0.03207632483270031,0.02291555534251466
EU,revision_sleeve,discovery_2010_2017,canonical_exact_sector_tilt,96,0.00622708818482165,0.006461273980112425,0.37900628719835466,1.3415908223562396,0.53125,-0.02183007692042782,0.10251934104538514,0.004996856092277028,0.03568438863656603,0.05115253342451931
EU,revision_sleeve,validation_2018_2021,canonical_exact_sector_tilt,48,0.015579081686693197,0.015564913262612778,0.9200686440952088,1.9702913116798155,0.6666666666666666,-0.016348794296864533,0.10251934104538514,0.014348849594148574,0.03568438863656603,0.05115253342451931
EU,revision_sleeve,holdout_2022_latest,canonical_exact_sector_tilt,53,-0.0004904336410471721,-0.0005526516487289745,-0.011362035574318414,-0.029871834551631393,0.5471698113207547,-0.02984434110342704,0.10251934104538514,-0.001720665733591794,0.03568438863656603,0.05115253342451931
EU,revision_sleeve,recent_2024_latest,canonical_exact_sector_tilt,29,-0.005773674166504428,-0.005706137202496464,-0.230450221306376,-0.4636673355348897,0.5172413793103449,-0.02976477382330489,0.10251934104538514,-0.007003906259049049,0.03568438863656603,0.05115253342451931
