Date,Exchange Country Region, Benchmark ICB Supersector ,rows,median_abs_neutral_diff,p90_abs_neutral_diff,max_abs_neutral_diff,neutral_corr
2026-04-30,West Europe,3.0,14,2.8571428571428577,5.0,5.714285714285715,0.2747252747252746
2026-04-30,West Europe,19.0,23,1.7391304347826089,4.695652173913044,5.6521739130434785,0.5365612648221346
2026-04-30,North America,3.0,9,3.333333333333333,4.666666666666666,5.555555555555556,0.3833333333333333
2026-04-30,North America,8.0,58,1.2068965517241375,4.017241379310346,5.172413793103448,0.7133101602633114
2026-04-30,Asia,6.0,6,1.6666666666666665,5.0,5.000000000000001,0.4285714285714285
2026-04-30,North America,1.0,6,1.6666666666666665,4.166666666666667,5.0,0.542857142857143
2026-04-30,North America,4.0,8,2.5,4.125,5.0,0.4761904761904762
2026-04-30,North America,17.0,12,2.0833333333333335,4.166666666666667,5.0,0.5594405594405593
2026-04-30,West Europe,5.0,20,1.0,1.5500000000000007,5.0,0.8511278195488721
2026-04-30,West Europe,7.0,23,0.8695652173913055,3.565217391304349,4.782608695652174,0.7737154150197628
2026-04-30,North America,12.0,23,0.8695652173913042,2.086956521739131,4.782608695652173,0.868577075098814
2026-04-30,Asia,16.0,25,1.6000000000000014,4.0,4.400000000000001,0.6169230769230769
2026-04-30,North America,10.0,23,0.4347826086956532,2.608695652173913,4.3478260869565215,0.8290513833992094
2026-04-30,West Europe,2.0,37,1.3513513513513509,3.7837837837837838,4.324324324324325,0.7344713134186819
2026-04-30,West Europe,13.0,14,0.7142857142857143,3.3571428571428577,4.2857142857142865,0.7714285714285715
2026-04-30,Pacific,3.0,7,1.428571428571428,2.571428571428572,4.285714285714285,0.7857142857142858
2026-04-30,West Europe,15.0,14,0.7142857142857153,4.285714285714285,4.285714285714285,0.7274725274725277
2026-04-30,West Europe,8.0,38,0.7894736842105261,2.631578947368421,4.210526315789473,0.8638800744063903
2026-04-30,West Europe,1.0,12,0.8333333333333337,2.5,4.166666666666667,0.7902097902097903
2026-04-30,Asia,18.0,5,2.0,3.2,4.0,0.7
2026-04-30,North America,5.0,13,1.5384615384615392,3.692307692307693,3.8461538461538463,0.7252747252747254
2026-04-30,Asia,2.0,8,0.625,2.875,3.75,0.7857142857142857
2026-04-30,Asia,10.0,8,2.5,3.75,3.75,0.5952380952380952
2026-04-30,Asia,1.0,11,0.9090909090909087,2.7272727272727275,3.6363636363636362,0.809090909090909
2026-04-30,West Europe,4.0,11,0.9090909090909101,3.636363636363636,3.636363636363636,0.7909090909090908
2026-04-30,West Europe,12.0,14,0.7142857142857144,2.6428571428571432,3.571428571428571,0.8593406593406596
2026-04-30,West Europe,17.0,17,0.5882352941176485,2.2352941176470598,3.5294117647058827,0.870098039215686
2026-04-30,Asia,7.0,6,1.6666666666666665,3.333333333333334,3.333333333333334,0.7142857142857142
2026-04-30,Asia,4.0,7,1.4285714285714288,2.8571428571428577,2.8571428571428577,0.8214285714285714
2026-04-30,Asia,14.0,7,1.4285714285714288,2.8571428571428577,2.8571428571428577,0.75
2026-04-30,Asia,5.0,5,0.0,2.0,2.0,0.8999999999999998
2026-04-30,Pacific,14.0,5,0.0,2.0,2.0,0.8999999999999998
