Date,Name,ISIN,Company SEDOL,Exchange Country Region,Exchange Country Name,FactSet Ind, Benchmark ICB Supersector ,Score ML,Score ML_IF,score_diff,abs_score_diff,score_ml_decile,score_ml_if_decile,decile_diff,Weight in MSCI WORLD,Weight in SP500,Weight in STOXX EUROPE 600
2026-06-30,"SCREEN Holdings Co., Ltd",JP3494600004,N2967L-R,Asia,JAPAN,Industrial Machinery,16.0,8.156424581005586,1.25,6.906424581005586,6.906424581005586,8,2,6,0.00019248965571569155,,
2026-06-30,"Pinnacle Financial Partners, Inc.",US72348N1090,WW3NPV-R,North America,UNITED STATES,Regional Banks,2.0,3.2,10.0,-6.8,6.8,4,10,-6,0.00016830293880397312,,
2026-06-30,"Ryohin Keikaku Co., Ltd.",JP3976300008,FVFGFP-R,Asia,JAPAN,Apparel/Footwear,15.0,0.41666666666666663,7.145,-6.727864583333333,6.727864583333333,1,8,-7,0.0001278588334173206,,
2026-06-30,Origin Energy Limited,AU000000ORG5,D8LSJ4-R,Pacific,AUSTRALIA,Oil & Gas Production,19.0,3.333333333333333,10.0,-6.666666666666667,6.666666666666667,4,10,-6,0.0001502815105205403,,
2026-06-30,Inpex Corporation,JP3294460005,PHM7W3-R,Asia,JAPAN,Integrated Oil,12.0,3.333333333333333,10.0,-6.666666666666667,6.666666666666667,4,10,-6,0.00019482934114682868,,
2026-06-30,Asahi Kasei Corporation,JP3111200006,Q8KGFN-R,Asia,JAPAN,Chemicals: Specialty,4.0,0.5,7.145,-6.64453125,6.64453125,1,8,-7,0.00015707624903570671,,
2026-06-30,Kao Corporation,JP3205800000,RB35DF-R,Asia,JAPAN,Household/Personal Care,13.0,0.8823529411764707,7.5,-6.617647058823529,6.617647058823529,1,8,-7,0.0001881307102486455,,
2026-06-30,Corning Inc,US2193501051,K24537-R,North America,UNITED STATES,Electronic Components,16.0,2.019230769230769,8.555,-6.535456730769231,6.535456730769231,2,9,-7,0.0022798636899811864,0.0031041340145583885,
2026-06-30,HOCHTIEF Aktiengesellschaft,DE0006070006,K3B7V1-R,West Europe,GERMANY,Engineering & Construction,5.0,3.5294117647058827,10.0,-6.470588235294118,6.470588235294118,4,10,-6,9.890718886254837e-05,,0.0006667752955326055
2026-06-30,Komatsu Ltd.,JP3304200003,PFF0R2-R,Asia,JAPAN,Trucks/Construction/Farm Machinery,9.0,0.975609756097561,7.438,-6.461890243902439,6.461890243902439,1,8,-7,0.0003661037154511201,,
2026-06-30,"Chiba Bank, Ltd.",JP3511800009,CFHBQH-R,Asia,JAPAN,Regional Banks,2.0,7.653061224489796,1.25,6.403061224489796,6.403061224489796,8,2,6,7.692809691555045e-05,,
2026-06-30,Bandai Namco Holdings Inc.,JP3778630008,V4T984-R,Asia,JAPAN,Recreational Products,13.0,2.3529411764705883,8.75,-6.397058823529411,6.397058823529411,3,9,-6,0.0001302050193636543,,
2026-06-30,Boston Scientific Corporation,US1011371077,VR16P9-R,North America,UNITED STATES,Medical Specialties,8.0,1.0294117647058822,7.207,-6.177619485294118,6.177619485294118,1,8,-7,0.0007106792246900695,0.0009843417046165627,
2026-06-30,"Zensho Holdings Co., Ltd.",JP3429300001,P23F21-R,Asia,JAPAN,Restaurants,18.0,1.3636363636363635,7.5,-6.136363636363637,6.136363636363637,2,8,-6,4.416510029309915e-05,,
2026-06-30,Arista Networks Inc,US0404132054,TNZ6CZ-R,North America,UNITED STATES,Computer Peripherals,17.0,3.888888888888889,10.0,-6.111111111111111,6.111111111111111,4,10,-6,0.0020364343970583018,0.002721752012765017,
