market,version,candidate_id,component,bucket,weight
eu-small,old,eu_small_syn_loo_without_risk_decline,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_risk_decline,momentum: EPS Revision Ratio,revision,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_risk_decline,momentum: PMOM 12M1M,pmom,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_risk_decline,EV To EBITDA NTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_risk_decline,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_risk_decline,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_risk_decline,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_risk_decline,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_subset_e5c1a446e9,momentum: EPS Revision Ratio,revision,0.3333333333333333
eu-small,old,eu_small_syn_subset_e5c1a446e9,EV To EBITDA NTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_e5c1a446e9,PB LTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_e5c1a446e9,PB LTM directional_delta lag3,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_e5c1a446e9,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_e5c1a446e9,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_e5c1a446e9,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_e5c1a446e9,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,Daily Vol 260J score_delta lag12,risk_decline,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,momentum: EPS Revision Ratio,revision,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,momentum: PMOM 12M1M,pmom,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,EV To EBITDA NTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_earnings_yield_improvement,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
