Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2013-09-02,PKTSQK-R,1.0144784450531006,1.0144784450531006,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-01,T7HRLL-R,1.0139355659484863,1.0139355659484863,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-02-27,PH7QYB-R,1.013636827468872,1.013636827468872,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-01-05,WDK2F1-R,1.0135653018951416,1.0135653018951416,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-20,WL4MZG-R,1.0125467777252197,1.0125467777252197,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-09-27,GKYKWV-R,1.0121607780456543,1.0121607780456543,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2010-10-08,W7SXRY-R,1.0121506452560425,1.0121506452560425,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2013-05-02,VMM07R-R,1.0119807720184326,1.0119807720184326,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-04-15,T7HRLL-R,1.0117378234863281,1.0117378234863281,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-08,K4MV84-R,1.0117218494415283,1.0117218494415283,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-11-08,X32NYV-R,1.0117218494415283,1.0117218494415283,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-09-25,QBCTL6-R,1.0114760398864746,1.0114760398864746,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-11-21,K8YRNT-R,1.0109188556671143,1.0109188556671143,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2023-12-29,T7HRLL-R,1.0106823444366455,1.0106823444366455,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-10-10,J3VSJP-R,1.010366439819336,1.010366439819336,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-26,PB2X29-R,1.0102904,1.0102904,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2022-05-09,T7HRLL-R,1.0100665092468262,1.0100665092468262,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-05-08,BBD288-R,1.010037899017334,1.010037899017334,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-04-26,GM3PSR-R,1.009824275970459,1.009824275970459,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2020-11-23,TN343Y-R,1.009817123413086,1.009817123413086,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2007-06-26,JXT2CD-R,1.0093669891357422,1.0093669891357422,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2012-07-24,W169HX-R,1.0093591213226318,1.0093591213226318,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
