market,version,result_type,source_file,metric,label,candidate_type,buckets,components,component_count,coverage,ratio_cagr,top_worst_ratio_return,ratio_max_drawdown,tracking_error,avg_turnover,robust_score,max_component_robust,max_component_ratio_cagr,max_component_top_worst,synergy_score,classification,left_out,left_out_bucket,full_model_metric,full_robust_score,without_robust_score,loo_contribution,full_ratio_cagr,without_ratio_cagr,ratio_contribution,benchmark,side,status,message,start_date,run_dir,family,role,direction,non_null_rows,first_date,last_date,avg_names_per_month,note,days,avg_holdings,valid,cagr,vol,sharpe,max_drawdown,ratio_return,information_ratio,rolling_3y_min_ratio_cagr,annual_active_hit_rate,perf_ptf,perf_bench,top_worst_ratio_max_drawdown,worst_ratio_return,theme,inputs,min_count,pass_gate,fail_reasons
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_921b6cfa0b,value_level + quality_improvement + earnings_yield_improvement,family_subset,value_level|quality_improvement|earnings_yield_improvement,sp500_syn_bucket_value_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement,3.0,,0.0538389978407347,2.703828254057627,-0.1676220385072274,0.0606186259366002,0.5361316836141377,2.354965763580813,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_8cd5bfe02a,revision + deleveraging + value_improvement,family_subset,revision|deleveraging|value_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement,3.0,,0.0439154320223613,3.0861926698134177,-0.1033613488271876,0.0551234220206542,0.6221774263236669,2.348640973189328,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_f63abc6d4e,revision + value_level + quality_improvement,family_subset,revision|value_level|quality_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_value_level|sp500_syn_bucket_quality_improvement,3.0,,0.0538096322567973,2.852451209109756,-0.203383688168489,0.0577941547239029,0.3749338611559911,2.337510502478194,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_a8477a0973,earnings_yield_improvement + deleveraging,family_subset,earnings_yield_improvement|deleveraging,sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging,2.0,,0.0476880469723848,2.7801772645226044,-0.1094322541181533,0.0515386460768705,0.6781780140951517,2.296310168658008,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_b0427a6822,deleveraging + risk_decline,family_subset,deleveraging|risk_decline,sp500_syn_bucket_deleveraging|sp500_syn_bucket_risk_decline,2.0,,0.047660571597871,2.7987875044511346,-0.1235994986755559,0.0501328851613523,0.7379084847281934,2.2926638960944703,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_d31e96ac04,quality_improvement + risk_decline,family_subset,quality_improvement|risk_decline,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_risk_decline,2.0,,0.0459256277059361,2.9030099279494186,-0.1431710459003716,0.0512989859670907,0.8022490398140183,2.2297376556619257,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_b088f16808,growth + quality_improvement,family_subset,growth|quality_improvement,sp500_syn_bucket_growth|sp500_syn_bucket_quality_improvement,2.0,,0.0512341488600469,2.397558318835118,-0.1261092510019215,0.0607291833434318,0.375226257186541,2.222906707687385,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_6df443f126,deleveraging + value_improvement,family_subset,deleveraging|value_improvement,sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement,2.0,,0.0425847157740733,3.003681303887084,-0.1412665810287966,0.0574576583832596,0.7291431503303317,2.1751456628361128,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_5b2dd0a91e,quality_improvement + value_improvement + risk_decline,family_subset,quality_improvement|value_improvement|risk_decline,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_value_improvement|sp500_syn_bucket_risk_decline,3.0,,0.0468314002526555,2.704510774882028,-0.1395458216668953,0.0535663218875943,0.8038860536276746,2.153494086234562,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_3e2a48346e,growth + value_level + quality_improvement,family_subset,growth|value_level|quality_improvement,sp500_syn_bucket_growth|sp500_syn_bucket_value_level|sp500_syn_bucket_quality_improvement,3.0,,0.0545711846020455,2.034911206728401,-0.1358078841202806,0.0582085216510107,0.347341530837823,2.1211758734256314,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_899194f687,revision + quality_improvement + earnings_yield_improvement,family_subset,revision|quality_improvement|earnings_yield_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement,3.0,,0.0463195800779012,2.667407433548446,-0.1506242742556073,0.0550491975793627,0.56203004115525,2.0980016567166144,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
